IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
1-ethenylsulfonylethane;Ethyl vinyl sulfone;EVS;InChI=1S/C4H8O2S/c1-3-7(5,6)4-2/h3H,1,4H2,2H3;C=CS(=O)(=O)CC;3.120;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
ethylsulfonylcyclopentane;ethyl sulfonyl cyclopentane;ESCP;InChI=1S/C7H14O2S/c1-2-10(8,9)7-5-3-4-6-7/h7H,2-6H2,1H3;CCS(=O)(=O)C1CCCC1;2.396;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
1-propylsulfonylpropane;Dipropyl sulfone;DPS;InChI=1S/C6H14O2S/c1-3-5-9(7,8)6-4-2/h3-6H2,1-2H3;CCCS(=O)(=O)CCC;2.264;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
2-methylthietane 1,1-dioxide;2-Methylthietane 1,1-dioxide;MTS;InChI=1S/C4H8O2S/c1-4-2-3-7(4,5)6/h4H,2-3H2,1H3;CC1CCS1(=O)=O;3.653;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
3-methylthiolane 1,1-dioxide;3-Methylsulfolane;3MeSL(MSL);InChI=1S/C5H10O2S/c1-5-2-3-8(6,7)4-5/h5H,2-4H2,1H3;CC1CCS(=O)(=O)C1;3.379;Green Chem., 2017, 19, 1828?1849(DOI:10.1039/c7gc00252a)
N,N-dimethylcarbamoyl fluoride;Dimethylcarbamylfluoride;;InChI=1S/C3H6FNO/c1-5(2)3(4)6/h1-2H3;CN(C)C(=O)F;2.512;Xu, Yun,Amide-based inexpensive, non-flammable electrolyte for secondary battery,US20240372141 A1(patent)
N-Fluoromethyl-N-methylformamide;N-Fluoromethyl-N-methylformamide;;InChI=1S/C3H6FNO/c1-5(2-4)3-6/h3H,2H2,1H3;CN(C=O)CF;3.967;Noriyuki Tamura,Nonaqueous electrolyte solution for secondary battery and nonaqueous electrolyte secondary battery,US20060035155A1(patent). Adv. Funct. Mater. 2023, 33, 2212342, (DOI:Adv. Funct. Mater. 2023, 33, 2212342)
2-fluoro-N,N-dimethylacetamide;2-Fluoro-N,N-dimethylacetamide;;InChI=1S/C4H8FNO/c1-6(2)4(7)3-5/h3H2,1-2H3;CN(C)C(=O)CF;2.696;Kuwashima, Yoshiko,JP2019175774 A(Patent)
N,N-diethylacetamide;N,N-diethylacetamide;DEA;InChI=1S/C6H13NO/c1-4-7(5-2)6(3)8/h4-5H2,1-3H3;CCN(CC)C(C)=O;2.100;Energy Technol. 2025, 2500556(DOI:10.1002/ente.202500556)
N,N-dimethylpropanamide;N,N-dimethylpropionamide;DMPA;InChI=1S/C5H11NO/c1-4-5(7)6(2)3/h4H2,1-3H3;CCC(=O)N(C)C;2.067;Chemical Physics Letters 870 (2025) 142088(DOI:10.1016/j.cplett.2025.142088)
