IUPAC Name;Common Name;Abbreviation;Inchi;SMILES;SAScore;Reference
2-fluoro-1,4-dioxane;2-fluoro-1,4-dioxane;;InChI=1S/C4H7FO2/c5-4-3-6-1-2-7-4/h4H,1-3H2;C1COC(CO1)F;3.922;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
diethoxymethoxyethane;diethoxymethoxyethane;TOF;InChI=1S/C7H16O3/c1-4-8-7(9-5-2)10-6-3/h7H,4-6H2,1-3H3;CCOC(OCC)OCC;2.784;Chem. Soc. Rev.,2023,52,2713 (DOI:10.1039/d2cs00873d)
2-(methoxymethyl)oxolane;Methyl tetrahydrofurfuryl ether;2-MMTHF;InChI=1S/C6H12O2/c1-7-5-6-3-2-4-8-6/h6H,2-5H2,1H3;COCC1CCCO1;2.546;Yamaki, Jun-ichi. Liquid electrolytes. Advances in Lithium-Ion Batteries. Boston, MA: Springer US, 2002. 155-183.
2-methoxy-1-(2-methoxypropoxy)propane;2-methoxy-1-(2-methoxypropoxy)propane;DMM-2;InChI=1S/C8H18O3/c1-7(9-3)5-11-6-8(2)10-4/h7-8H,5-6H2,1-4H3;CC(COCC(C)OC)OC;3.449;Chem. Sci., 2024, 15, 4238(DOI:10.1039/d3sc06650a)
1-ethylpyrrolidin-2-one;N-Ethyl-2-pyrrolidone;NEP;InChI=1S/C6H11NO/c1-2-7-5-3-4-6(7)8/h2-5H2,1H3;CCN1CCCC1=O;2.076;Energy Technol. 2025, 2500556(DOI:10.1002/ente.202500556)
1-methylpiperidin-2-one;N-Methyl-2-piperidone;NMPi;InChI=1S/C6H11NO/c1-7-5-3-2-4-6(7)8/h2-5H2,1H3;CN1CCCCC1=O;2.019;Energy Technol. 2025, 2500556(DOI:10.1002/ente.202500556)
1-methylazepan-2-one;N-Methyl-e-caprolactam;NMC;InChI=1S/C7H13NO/c1-8-6-4-2-3-5-7(8)9/h2-6H2,1H3;CN1CCCCCC1=O;1.957;Energy Technol. 2025, 2500556(DOI:10.1002/ente.202500556)
N,N-diethylformamide;N,N-diethylformamide;DEF;InChI=1S/C5H11NO/c1-3-6(4-2)5-7/h5H,3-4H2,1-2H3;CCN(CC)C=O;3.042;Journal of The Electrochemical Society, 160 (1) A160-A171 (2013)(DOI:10.1149/2.027302jes)
bis(2-methoxyethyl) carbonate;bis(2-methoxyethyl) carbonate;BMEC;InChI=1S/C7H14O5/c1-9-3-5-11-7(8)12-6-4-10-2/h3-6H2,1-2H3;COCCOC(=O)OCCOC ;2.077;Chen, Lin, WO2025138400A1 (patent)
difluoromethyl ethyl carbonate;difluoromethyl ethyl carbonate;;InChI=1S/C4H6F2O3/c1-2-8-4(7)9-3(5)6/h3H,2H2,1H3;CCOC(=O)OC(F)F;2.651;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
2-fluoroethyl fluoromethyl carbonate;2-fluoroethyl fluoromethyl carbonate;;InChI=1S/C4H6F2O3/c5-1-2-8-4(7)9-3-6/h1-3H2;C(CF)OC(=O)OCF;3.111;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
difluoromethyl 2-fluoroethyl carbonate;difluoromethyl 2-fluoroethyl carbonate;;InChI=1S/C4H5F3O3/c5-1-2-9-4(8)10-3(6)7/h3H,1-2H2;C(CF)OC(=O)OC(F)F;3.123;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
2,2,3,3-tetrafluoropropyl propanoate;2,2,3,3-tetrafluoropropyl propanoate;;InChI=1S/C6H8F4O2/c1-2-4(11)12-3-6(9,10)5(7)8/h5H,2-3H2,1H3;CCC(=O)OCC(C(F)F)(F)F;2.690;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
2,2-difluoroethyl acetate;2,2-difluoroethyl acetate;;InChI=1S/C4H6F2O2/c1-3(7)8-2-4(5)6/h4H,2H2,1H3;CC(=O)OCC(F)F;2.453;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
2,2,2-trifluoroethyl trifluoromethyl carbonate;2,2,2-trifluoroethyl trifluoromethyl carbonate;;InChI=1S/C4H2F6O3/c5-3(6,7)1-12-2(11)13-4(8,9)10/h1H2;C(C(F)(F)F)OC(=O)OC(F)(F)F;2.730;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
2,2,2-trifluoroethyl butanoate;2,2,2-trifluoroethyl butanoate;;InChI=1S/C6H9F3O2/c1-2-3-5(10)11-4-6(7,8)9/h2-4H2,1H3;CCCC(=O)OCC(F)(F)F;2.138;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
methyl trifluoromethyl carbonate;methyl trifluoromethyl carbonate;;InChI=1S/C3H3F3O3/c1-8-2(7)9-3(4,5)6/h1H3;COC(=O)OC(F)(F)F;2.649;Zheng, Yezhen,Secondary battery and electronic device, CN117913217A(patent)
phenyl acetate;phenyl acetate;PA;InChI=1S/C8H8O2/c1-7(9)10-8-5-3-2-4-6-8/h2-6H,1H3;CC(=O)OC1=CC=CC=C1;1.311;Chemistry Letters Vol.34, No.7 (2005)(DOI:10.1246/cl.2005.1052)
acetyl acetate;Acetic anhydride;AA;InChI=1S/C4H6O3/c1-3(5)7-4(2)6/h1-2H3;CC(=O)OC(=O)C;2.316;Chemistry Letters Vol.34, No.7 (2005)(DOI:10.1246/cl.2005.1052)
prop-1-en-2-yl acetate;Isopropenyl acetate;iPA-2;InChI=1S/C5H8O2/c1-4(2)7-5(3)6/h1H2,2-3H3;CC(=C)OC(=O)C;2.878;Chemistry Letters Vol.34, No.7 (2005)(DOI:10.1246/cl.2005.1052)
(1,1-dioxothiolan-3-yl) methyl carbonate;(1,1-dioxothiolan-3-yl) methyl carbonate;MCSL;InChI=1S/C6H10O5S/c1-10-6(7)11-5-2-3-12(8,9)4-5/h5H,2-4H2,1H3;COC(=O)OC1CCS(=O)(=O)C1;3.129;ChemElectroChem 2018, 5, 2279 ? 2287(DOI:10.1002/celc.201701343)
fluoro(fluoromethylsulfonyl)methane;fluoromethyl sulfone;;InChI=1S/C2H4F2O2S/c3-1-7(5,6)2-4/h1-2H2;C(F)S(=O)(=O)CF;3.545;Sudo, Hitoshi,Electrochemical device containing sulfone in electrolytic solution,JP2013051342 A(patent)
difluoro(fluoromethylsulfonyl)methane;difluoro(fluoromethylsulfonyl)methane;;InChI=1S/C2H3F3O2S/c3-1-8(6,7)2(4)5/h2H,1H2;C(F)S(=O)(=O)C(F)F ;3.534;Sudo, Hitoshi,Electrochemical device containing sulfone in electrolytic solution,JP2013051342 A(patent)
trifluoro(fluoromethylsulfonyl)methane;trifluoro(fluoromethylsulfonyl)methane;;InChI=1S/C2H2F4O2S/c3-1-9(7,8)2(4,5)6/h1H2;C(F)S(=O)(=O)C(F)(F)F;3.176;Sudo, Hitoshi,Electrochemical device containing sulfone in electrolytic solution,JP2013051342 A(patent)
trifluoro(trifluoromethylsulfonyl)methane;bis(trifluoromethyl) sulfone;;InChI=1S/C2F6O2S/c3-1(4,5)11(9,10)2(6,7)8;C(F)(F)(F)S(=O)(=O)C(F)(F)F;2.851;Sudo, Hitoshi,Electrochemical device containing sulfone in electrolytic solution,JP2013051342 A(patent)
1,1,1,2,2-pentafluoro-2-(trifluoromethylsulfonyl)ethane;;;InChI=1S/C3F8O2S/c4-1(5,6)2(7,8)14(12,13)3(9,10)11;C(C(F)(F)S(=O)(=O)C(F)(F)F)(F)(F)F;3.068;Sudo, Hitoshi,Electrochemical device containing sulfone in electrolytic solution,JP2013051342 A(patent)
2-methylfuran;2-methylfuran;;InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3;CC1=CC=CO1;2.743;Cha, Seon Yeong,An electrolyte for lithium-sulfur secondary battery, capable of lowering the resistance of lithium-sulfur secondary battery, IN202517023894 A (patent)
2-propylfuran;2-propylfuran;;InChI=1S/C7H10O/c1-2-4-7-5-3-6-8-7/h3,5-6H,2,4H2,1H3;CCCC1=CC=CO1;1.876;Cha, Seon Yeong,An electrolyte for lithium-sulfur secondary battery, capable of lowering the resistance of lithium-sulfur secondary battery, IN202517023894 A (patent)
2-butylfuran;2-butylfuran;;InChI=1S/C8H12O/c1-2-3-5-8-6-4-7-9-8/h4,6-7H,2-3,5H2,1H3;CCCCC1=CC=CO1;1.805;Cha, Seon Yeong,An electrolyte for lithium-sulfur secondary battery, capable of lowering the resistance of lithium-sulfur secondary battery, IN202517023894 A (patent)
2,4-dimethylfuran;2,4-dimethylfuran;;InChI=1S/C6H8O/c1-5-3-6(2)7-4-5/h3-4H,1-2H3;CC1=CC(=CO1)C;2.845;Cha, Seon Yeong,An electrolyte for lithium-sulfur secondary battery, capable of lowering the resistance of lithium-sulfur secondary battery, IN202517023894 A (patent)
4,4-dimethyl-1,3-dioxolan-2-one;4,4-dimethyl-1,3-dioxolan-2-one;i-BC;InChI=1S/C5H8O3/c1-5(2)3-7-4(6)8-5/h3H2,1-2H3;CC1(COC(=O)O1)C;3.328;Chem. Rev. 2014, 114, 11503?11618(DOI: 10.1021/cr500003w)
